iter	Passed	Remaining
910	5371	524
911	5376	518
912	5382	512
913	5388	506
914	5393	501
915	5399	495
916	5405	489
917	5410	483
918	5416	477
919	5421	471
920	5427	465
921	5433	459
922	5438	453
923	5444	447
924	5450	441
925	5456	436
926	5462	430
927	5468	424
928	5474	418
929	5480	412
930	5486	406
931	5491	400
932	5497	394
933	5502	388
934	5508	382
935	5514	377
936	5519	371
937	5525	365
938	5530	359
939	5536	353
940	5542	347
941	5547	341
942	5553	335
943	5559	329
944	5564	323
945	5569	317
946	5575	312
947	5581	306
948	5587	300
949	5592	294
950	5598	288
951	5604	282
952	5609	276
953	5615	270
954	5621	264
955	5626	258
956	5632	253
957	5638	247
958	5644	241
959	5650	235
960	5656	229
961	5662	223
962	5668	217
963	5673	211
964	5679	205
965	5685	200
966	5690	194
967	5696	188
968	5702	182
969	5707	176
970	5713	170
971	5719	164
972	5724	158
973	5730	152
974	5736	147
975	5741	141
976	5747	135
977	5752	129
978	5758	123
979	5764	117
980	5769	111
981	5775	105
982	5781	99
983	5787	94
984	5793	88
985	5799	82
986	5805	76
987	5811	70
988	5817	64
989	5822	58
990	5827	52
991	5833	47
992	5839	41
993	5844	35
994	5850	29
995	5856	23
996	5861	17
997	5867	11
998	5873	5
999	5879	0
